,Name,URL
0,Clover Club #1,https://www.theeducatedbarfly.com/clover-club-1/
1,Clover Club #2,https://www.theeducatedbarfly.com/clover-club-2/
2,Macunaíma,https://www.theeducatedbarfly.com/macunaima/
3,Caipirinha,https://www.theeducatedbarfly.com/caipirinha/
4,Batida Rosa,https://www.theeducatedbarfly.com/batida-rosa/
5,Frozen Planter’s Punch,https://www.theeducatedbarfly.com/frozen-planters-punch/
6,Super Juice,https://www.theeducatedbarfly.com/super-juice/
7,Alabama Slammer,https://www.theeducatedbarfly.com/alabama-slammer/
8,Kola Sour,https://www.theeducatedbarfly.com/kola-sour/
9,Blackbird,https://www.theeducatedbarfly.com/blackbird/
10,Lost Lake,https://www.theeducatedbarfly.com/lost-lake/
11,Old Pal,https://www.theeducatedbarfly.com/old-pal/
12,Dole Whip,https://www.theeducatedbarfly.com/dole-whip/
13,Hotel National Special,https://www.theeducatedbarfly.com/hotel-national-special/
14,Tipperary,https://www.theeducatedbarfly.com/tipperary/
15,Wibble,https://www.theeducatedbarfly.com/wibble/
16,Dr. Funk,https://www.theeducatedbarfly.com/dr-funk/
17,Eastern Sour,https://www.theeducatedbarfly.com/eastern-sour/
18,Army & Navy,https://www.theeducatedbarfly.com/army-navy/
19,Self Starter,https://www.theeducatedbarfly.com/self-starter/
20,Gin and Pomme,https://www.theeducatedbarfly.com/gin-and-pomme/
21,Pancho Villa,https://www.theeducatedbarfly.com/pancho-villa/
22,Grasshopper,https://www.theeducatedbarfly.com/grasshopper-dale-degroff/
23,Improved Brandy Cocktail,https://www.theeducatedbarfly.com/improved-brandy-cocktail/
24,Cognac Sazerac,https://www.theeducatedbarfly.com/cognac-sazerac/
25,New York Sazerac,https://www.theeducatedbarfly.com/new-york-sazerac/
26,Hanky Panky,https://www.theeducatedbarfly.com/hanky-panky/
27,Toronto,https://www.theeducatedbarfly.com/toronto/
28,Paloma,https://www.theeducatedbarfly.com/paloma/
29,Carajillo,https://www.theeducatedbarfly.com/carajillo/
30,Cantarito,https://www.theeducatedbarfly.com/cantarito/
31,Vampiro,https://www.theeducatedbarfly.com/vampiro/
32,Aged Egg Nog,https://www.theeducatedbarfly.com/aged-egg-nog/
33,Million Dollar Cocktail,https://www.theeducatedbarfly.com/million-dollar-cocktail/
34,Yukiguni Cocktail,https://www.theeducatedbarfly.com/yukiguni-cocktail/
35,Japanese Highball,https://www.theeducatedbarfly.com/japanese-highball/
36,Cameron’s Kick,https://www.theeducatedbarfly.com/camerons-kick/
37,Hemingway Daiquiri,https://www.theeducatedbarfly.com/hemingway-daiquiri/
38,Royal Bermuda Yacht Club,https://www.theeducatedbarfly.com/royal-bermuda-yacht-club/
39,Hurricane (Variation),https://www.theeducatedbarfly.com/hurricane-variation/
40,Milano Torino,https://www.theeducatedbarfly.com/milano-torino/
41,Americano,https://www.theeducatedbarfly.com/americano/
42,Hugo Spritz,https://www.theeducatedbarfly.com/hugo-spritz/
43,Angelino 1860 Spritz,https://www.theeducatedbarfly.com/angelino-1860-spritz/
44,Bicicletta,https://www.theeducatedbarfly.com/bicicletta/
45,Rattlesnake,https://www.theeducatedbarfly.com/rattlesnake/
46,Mojito,https://www.theeducatedbarfly.com/mojito/
47,Traditional Mojito,https://www.theeducatedbarfly.com/traditional-mojito/
48,Traditional Martini,https://www.theeducatedbarfly.com/traditional-martini/
49,Traditional Dry Martini,https://www.theeducatedbarfly.com/traditional-dry-martini/
50,Perfect Martini,https://www.theeducatedbarfly.com/perfect-martini/
51,Vodka Martini,https://www.theeducatedbarfly.com/vodka-martini/
52,Dirty Martini,https://www.theeducatedbarfly.com/dirty-martini/
53,Green Swizzle,https://www.theeducatedbarfly.com/green-swizzle/
54,Florodora,https://www.theeducatedbarfly.com/florodora/
55,Irish Old Fashioned,https://www.theeducatedbarfly.com/irish-old-fashioned/
56,Broken Shoe Shiner,https://www.theeducatedbarfly.com/broken-shoe-shiner/
57,Last Word,https://www.theeducatedbarfly.com/last-word/
58,Cardinale,https://www.theeducatedbarfly.com/cardinale/
59,Cardinale (Modern),https://www.theeducatedbarfly.com/cardinale-modern/
60,Benjamin Franklin’s Milk Punch,https://www.theeducatedbarfly.com/benjamin-franklins-milk-punch/
61,Cadillac Margarita,https://www.theeducatedbarfly.com/cadillac-margarita/
62,Ciro’s Special,https://www.theeducatedbarfly.com/ciros-special/
63,Bobby Burns for Burns Night,https://www.theeducatedbarfly.com/bobby-burns-for-burns-night/
64,Atomic Cocktail (Revised),https://www.theeducatedbarfly.com/atomic-cocktail-revised/
65,Atomic Cocktail,https://www.theeducatedbarfly.com/atomic-cocktail/
66,Amaro Caldo (Hot Amaro),https://www.theeducatedbarfly.com/amaro-caldo-hot-amaro/
67,Blackwood’s Hot Whiskey Punch,https://www.theeducatedbarfly.com/blackwoods-hot-whiskey-punch-bruichladdich/
68,The Ancient Mariner,https://www.theeducatedbarfly.com/the-ancient-mariner/
69,Singapore Sling,https://www.theeducatedbarfly.com/singapore-sling/
70,Kangaroo aka Vodka Martini,https://www.theeducatedbarfly.com/kangaroo-aka-vodka-martini/
71,Bourbon Smash,https://www.theeducatedbarfly.com/bourbon-smash/
