,Name,URL,Description,Ingredients,Instructions,Keywords,Question
0,Clover Club #1,https://www.theeducatedbarfly.com/clover-club-1/,"The Clover Club cocktail was the signature cocktail of a private social club of the same name that met at the Bellevue-Stratford Hotel in Philadelphia in the late 1800s through the early 1900s. The members were high-powered businessmen, judges, and bankers. The cocktail was most probably created during the turn of the century and was created to feature the business power color of the time. Pink. Today men regard their power color as Red, but back in the day, the power color was pink.","- 2 oz Gin
- 3/4 oz Lemon Juice
- 3/4 oz Simple Syrup
- 4-6 Raspberries
- 1 Egg White
- Raspberry
","1. Add all ingredients into the tin except egg white.
2. Muddle Raspberries.
3. Then add egg white.
4. Dry shake the Cocktail for approximately 30 seconds to emulsify the egg white.
5. Then add a big cube of Ice and a little cheater cube for proper dilution.
6. Shake until cheater cub is fully dissolved.
7. Then double strain into a large coupe or cocktail glass.
8. Garnish with fresh raspberry.
9. Enjoy!
","1800s, 1900s, clover club, Clover Club #1, egg, egg white, Gin, lemon juice, philadelphia, raspberries, simple syrup","Could you recreate a cocktail for me that involves muddling raspberries and emulsifying egg white, similar to the Clover Club #1?"
1,Clover Club #2,https://www.theeducatedbarfly.com/clover-club-2/,Recommended Bar Tools:,"- 2 oz Gin
- 3/4 oz Raspberry Syrup
- 3/4 oz Lemon Juice
- 1 Egg White
- Raspberry
","1. Add all ingredients to a shaking set .
2. Dry shake 30 seconds to emulsify egg white.
3. Then add a big rock of ice and cheater cube.
4. Shake until cheater is fully dissolved.
5. Strain into a coupe or cocktail glass.
6. Garnish with fresh raspberry.
7. Enjoy!
","Clover Club #2, egg white, Gin, lemon juice, raspberry, Raspberry Syrup","Could you recommend a cocktail that highlights the flavors of gin, raspberry, and lemon juice, similar to the Clover Club #2?"
2,Macunaíma,https://www.theeducatedbarfly.com/macunaima/,The Macunaíma was created by Brazilian Bartender Arnaldo Hirai in 2014 at his bar Boca De Ouro in Saõ Paulo Brazil and is simply a lime sour with a hint of fernet.,"- 2 oz Cachaca Balm Aged
- 1/4 oz Fernet
- 3/4 oz Lime Juice
- 3/4 oz Simple Syrup
- Dehydrated Lemon Wheel
","1. Add all ingredients to a shaking tin.
2. Shake 8-10 seconds. 
3. Strain into a chilled old fashioned glass.
4. No ice/no garnish
","Arnaldo Hirai, Balm Aged Cachaca, fernet, lime juice, Macunaíma, simple syrup","Can you recommend a cocktail that combines the flavors of lime, fernet, and Balm Aged Cachaca, similar to the Macunaíma?"
3,Caipirinha,https://www.theeducatedbarfly.com/caipirinha/,"The Caipirinha is thought to have originated in Partay Saõ Paulo Brazil and was thought to have first been used as a remedy to ease the effects of the Spanish Flu toward the end of World War One, although this is Brazil’s National Drink it has also reached classic status as it is now found all over the world.","- 1 Lime (cut into wedges)
- 2 tsp Sugar
- 2 oz Cachaça
- Lime Wheel
","1. First cut the white pith away from the lime wedges
2. Place into a double old fashioned glass.
3. Next add 2 tsp of sugar .
4. Muddle the wedges until combined.
5. Add Cachaca.
6. Add ice.
7. Stir.
8. Enjoy!
","cachaca, Caipirinha, lime, lime wheel, sugar","Excuse me, bartender. Could I please have a Caipirinha?"
4,Batida Rosa,https://www.theeducatedbarfly.com/batida-rosa/,"I wasn’t able to find too much on the Batida Rosa other than that it’s a very traditional Brazilian drink, Aaaaand that’s about it. It has been reconstructed by many well known bartenders over the years including Jeffrey Morganthaler and it’s also listed on difford’s guide. I’m not sure if these are “original specs” but this seems to be one of those cocktails whose recipe changes depending on region.","- 1 1/2 oz Cachaça
- 3/4 oz Pineapple Juice
- 3/4 oz Lemon Juice
- 1/2 oz Grenadine
- 1/4 oz Simple Syrup 2:1 
- Club soda
- Dehydrated Orange Garnish
","1. Add all ingredients minus the soda water into a shaking tin set.
2. Strain into a wine glass over ice. 
3. Top with soda water.
4. Garnish
","Batida Rosa, cachaca, grenadine, lemon juice, Orange Wheel, pineapple juice, simple syrup, Top Club soda","What cocktail can you make that combines the flavors of cachaça, pineapple juice, lemon juice, grenadine, and club soda?"
5,Frozen Planter’s Punch,https://www.theeducatedbarfly.com/frozen-planters-punch/,There’s no set recipe for Planter’s Punch it’s an old old drink that dates back to the mid-1800s and the first recipe was actually written in verse. Two of sour one of sweet three of strong four of weak. The original isn’t a blender drink but this recipe from Smuggler’s Cove in San Francisco lends very well to the format.,"- 3 oz Jamaican Rum
- 1/2 oz Allspice Dram Allspice Liqueur
- 1 oz Lime Juice
- 3/4 oz Demerara Syrup 2:1
- 2 dashes Angostura Bitters
- 1/4 tsp Xantham Gum
- Mint Sprig
- Lime Wheel
","1. Add all ingredients to a blender with 12oz pebble ice.
2. Blend until smooth the strain into a Collins glass.
3. Garnish with a mint sprig and seasonal fruit.
4. Enjoy!
","allspice dram, angostura bitters, demerara syrup, Frozen Planter’s Punch, jamaican rum, lime juice, lime wheel, mint sprig, Xanthan Gum","Excuse me, bartender. I would like to try the Frozen Planter's Punch cocktail. Could you please make it for me?"
6,Super Juice,https://www.theeducatedbarfly.com/super-juice/,"Super Juice was created by bartender Nickle Morris owner of Expo in Louisville KY.This juice was developed to make a better, cheaper, and more sustainable solution to Using fresh citrus juice. It has none of the oxidization problems that fresh juice has, is nearly shelf-stable, and tastes better.","- 8 Limes
- 44 g Citric Acid
- 8 g Malic Acid
- 4 cups Water
","1. Add peel of 8 limes to a large container
2. Juice the limes
3. Add the citric and malic acid and lightly muddle to mix
4. Let sit for an hour to extract the oils
5. Add lime Juice and 4 Cups of water
6. Blend until dissolved (we used an immersion blender)
7. Fine strain and your Super Juice is ready to serve
8. Keep refrigerated, last 1-2 weeks
","citric acid, immersion blend, lemon, lemons, lime, limes, malic acid, water","Could you create a cocktail that highlights the bright and tangy flavors of fresh citrus, specifically using lime and lemon, and incorporates an immersion blender to blend the ingredients together?"
7,Alabama Slammer,https://www.theeducatedbarfly.com/alabama-slammer/,"Today I make Dale DeGroff‘s version of an Alabama Slammer, which he grudgingly developed a recipe for because so many people ordered this drink in the late 1970‘s and early 1980‘s and he basically had to do it. And that in and of itself is an important lesson in hospitality. But that’s for another time. This drink traces it’s history to the Dark Ages of Cocktails, a time when ingredients were not really focused on in favor or making overly sweet drinks designed to get people wasted in nightclubs. The most common story is that it was created sometime in the 1970‘s as a shot (hence slammer) at the University of Alabama. Why did I decide to make this drink then? Well, I had a terrible experience with Southern Comfort as a kid, I have not taken a sip of it since then, and I wanted to see what would happen if I had some? Plus, I wanted to see what I thought of it’s flavors now as an adult. I’m constantly getting people to retry Gin after they’ve had bad experiences so I thought I’d put my money where my mouth is.","- 1 oz Vodka
- .75 oz Sloe Gin
- .75 oz Southern Comfort
- 4 oz Orange Juice
- .25 oz Grenadine Float
- Orange Slice
- Maraschnio Cherry
- Highball Glass
","1. Add ingredients to Tin
2. Add ice and shake 8-10 Seconds
3. Strain into highball glass with ice cubes
4. .25oz (7.5ml) or 6 Dashes of Grendine Float
5. Garnish with Orange Slice and Maraschino Cherry
",,"What cocktail would you recommend that combines the flavors of vodka, sloe gin, Southern Comfort, orange juice, and a hint of grenadine?"
8,Kola Sour,https://www.theeducatedbarfly.com/kola-sour/,This Sour was created by Barman Sother Teague for his bar Amor y Amargo in New York City a bar which commits itself to all things bitter!,"- 1oz (30ml) Meletti Amaro
- 1oz (30ml) White Rum Banks 5 Island Rum
- .75oz (22.5ml) Lemon Juice
- .5oz (15ml) Orgeat
- 4 Drops Cherry Bark Vanilla Bitters
- 1 Egg White
","1. Add ingredients to Tin and dry Shake
2. Add Rock of ice and shake 10-15 Seconds
3. Double Strain into chilled glass
",,What cocktails do you have that combine the bitterness of an amaro with the sweetness of orgeat and the tanginess of lemon juice?
9,Blackbird,https://www.theeducatedbarfly.com/blackbird/,A delightful coffee twist on the Jungle Bird,"- .75 oz Campari
- .75 oz Gold Jamaica Rum
- .75 oz Coffee Liqueur
- 1.5 oz Pineapple Juice
- .75 oz Lime Juice
- .25 oz Rich Simple Syrup
- Orange Slice
","1. Add ingredients to tin
2. Add ice and shake for 10 seconds
3. Strain into glass with large rock of ice
4. Garnish with Orange Slice
","aged rum, black bird, blackbird, Campari, coffee liqueur, gold rum, jamaica rum, jungle bird, lime juice, mr black, mr black coffee liqueur, pineapple juice, rich simple syrup, simple syrup","Excuse me, bartender. Could you please make me a Blackbird cocktail?"
